product_id,name,launch_date,primary_audience,key_specs,pricing,positioning,past_campaign_message
P-001,LaunchPilot AI,2026-07-22,"PMs, founders, startup marketers","RAG over launch docs; multi-format content generation; review loop; export to Google Docs",$79/month,"AI GTM copilot for lean teams","Ship launch content in hours, not weeks."
P-002,SignalDesk Analytics,2026-08-14,"Executives, consultants, growth leads","Campaign attribution dashboard; CRM sync; weekly insight emails",$149/month,"Turn GTM noise into executive-ready insights","Know which campaigns move pipeline."
P-003,BriefForge Studio,2026-09-04,"Product marketers, content leads, agencies","Creative brief builder; brand voice memory; approval workflows; asset handoff checklist",$99/month,"Brief-to-campaign workspace for fast-moving marketing teams","Go from scattered notes to aligned campaign briefs."
P-004,PipelinePulse,2026-09-18,"Revenue leaders, RevOps teams, B2B founders","Deal-risk scoring; Slack alerts; forecast snapshots; CRM hygiene checks",$199/month,"Revenue signal layer for teams that need cleaner forecasts","Spot pipeline risk before the Monday forecast call."
P-005,DemoCraft AI,2026-10-02,"Sales engineers, solutions consultants, enablement teams","Persona-based demo scripts; objection cards; sandbox data prompts; follow-up summary drafts",$129/month,"AI demo prep assistant for complex B2B products","Walk into every demo with the right story."
P-006,RetentionMap,2026-10-16,"Customer success leaders, lifecycle marketers, SaaS operators","Cohort health maps; churn reason clustering; renewal playbooks; account timeline summaries",$169/month,"Customer retention intelligence for SaaS teams","Turn customer signals into renewal action."
P-007,LaunchLedger,2026-11-06,"Finance leads, founders, operations managers","Launch budget tracking; vendor approvals; spend variance alerts; board-ready summaries",$89/month,"Budget control center for product launches","Keep every launch dollar visible and accountable."
P-008,InsightBoard Rooms,2026-11-20,"Consultants, executive teams, strategy leads","Client-ready dashboards; meeting room snapshots; narrated insights; secure share links",$249/month,"Executive insight rooms for client and leadership updates","Make every strategy update decision-ready."
P-009,PersonaLab,2026-12-04,"UX researchers, PMMs, product teams","Interview synthesis; persona cards; segment comparisons; evidence citations",$119/month,"Research-backed persona development workspace","Build personas from evidence, not assumptions."
P-010,CampaignOps Hub,2026-12-18,"Marketing ops teams, campaign managers, demand gen leads","Campaign calendar; dependency tracking; QA checklists; launch readiness scoring",$139/month,"Operational command center for multi-channel campaigns","Launch campaigns with fewer dropped details."
